ret,0x5,expr,2,GetLocaleInfo,,,,,,,,
var,3,0x14e,1,1,SendDlgItemMessage,,,,,,,
var,var,0x0,0x3,var,RegOpenKeyEx,,,,,,,
0x0,PTR,PTR,8,0x80000000,8,8,8,mem,1,mem,1,CreateWindowEx
0x900,mem,expr,0x400,var,1,var,FormatMessage,,,,,
ret,0x0,3,HeapAlloc,,,,,,,,,
ret,PTR,var,var,0x0,1,4,2,var,1,mem,1,CreateWindowEx
0x80000002,PTR,0x0,var,var,RegOpenKeyEx,,,,,,,
0x0,var,0x0,var,var,RegOpenKeyEx,,,,,,,
mem,3,1,1,PostMessage,,,,,,,,
0x0,0x0,expr,8,expr,3,1,1,WideCharToMultiByte,,,,
0x80000002,var,0x0,0x9,var,RegOpenKeyEx,,,,,,,
var,ret,1,1,1,var,RegQueryValueEx,,,,,,
var,3,0x143,1,var,SendDlgItemMessage,,,,,,,
mem,0x0,3,HeapAlloc,,,,,,,,,
var,var,0x146,1,1,SendDlgItemMessage,,,,,,,
PTR,1,0x3,PTR,expr,CoCreateInstance,,,,,,,
0x0,PTR,1,var,expr,var,RegQueryValueEx,,,,,,
mem,4,mem,CheckDlgButton,,,,,,,,,
mem,0x0,1,1,expr,var,0x16,SetWindowPos,,,,,
mem,var,1,var,mem,mem,RegSetValueEx,,,,,,
var,0x40000000,0x0,1,0x3,0x4,1,CreateFile,,,,,
mem,var,var,0x40,MessageBox,,,,,,,,
0x409,0x1,expr,8,PTR,8,CompareString,,,,,,
0x7f,0x1,mem,expr,var,expr,CompareString,,,,,,
var,4,var,SetDlgItemText,,,,,,,,,
mem,0x8,2,HeapAlloc,,,,,,,,,
mem,3,0xc5,1,1,SendDlgItemMessage,,,,,,,
mem,0x0,1,1,1,ret,0x4,SetWindowPos,,,,,
mem,mem,0x0,var,expr,RegOpenKeyEx,,,,,,,
ret,0x8,2,HeapAlloc,,,,,,,,,
0x80000002,mem,0x0,0x1,var,RegOpenKeyEx,,,,,,,
0x409,0x1,expr,reg,PTR,reg,CompareString,,,,,,
0x0,1,1,0x1,var,ret,RegSetValueEx,,,,,,
0x1,0x0,var,8,ret,expr,MultiByteToWideChar,,,,,,
mem,3,0x1,CheckDlgButton,,,,,,,,,
mem,var,2,var,1,ReadFile,,,,,,,
mem,3,1,ret,PostMessage,,,,,,,,
mem,0x0,3,HeapAlloc,,,,,,,,,
0x0,0x8,ret,ret,expr,ret,MultiByteToWideChar,,,,,,
var,3,mem,SetDlgItemText,,,,,,,,,
mem,0x630009,var,2,var,var,1,ret,DeviceIoControl,,,,
var,3,0x1,CheckDlgButton,,,,,,,,,
